Database,Record,Technique,ILHSAF_Ref,F1,Precision,Recall,BPM_mean,BPM_std,Detected_Peaks,GT_Peaks,Has_GT,Experimental,Time_s
ADFECGDB,r01.edf,ILHSAF,synthetic,0.8975903614457831,0.8713450292397661,0.9254658385093167,138.21200303205387,23.61428768856118,684,644,True,False,0.7923779487609863
NIFEADB,ARR_01,ILHSAF,real_chest,0.0,0.0,0.0,150.32224151303313,32.71704799703058,1571,-1,False,False,1.512237787246704
NI-FECG,ecgca102.edf,ILHSAF,real_chest,0.63881636205396,0.47416020671834624,0.9786666666666667,173.18457229465326,18.412165861568006,774,375,True,False,0.6834781169891357
CinC2013,a01,ILHSAF,synthetic,0.74,0.7161290322580646,0.7655172413793103,155.0588838879855,27.70585394447825,155,145,True,False,0.15336990356445312
NINFEA,1,ILHSAF,real_chest,0.0,0.0,0.0,165.1025286140369,32.386287104373714,81,-1,False,False,0.14408397674560547
